primary_ticker,ciq_company_id,transcript_id,key_devid,transcript_date,headline,metadata_exists,component_rows,in_cleaned_calls,in_llm_views,gap_reason,notes
CTSH,386024,2446,2537903,2006-02-09,"Cognizant Technology Solutions Corp., Q4 2005 Earnings Call, Feb-09-2006",True,0,False,False,metadata_exists_but_no_component_rows,raw coverage limitation; excluded from cleaned_calls and llm_views; no empty LLM input generated
KLAC,282225,5108,137429117,2006-02-01,"KLA-Tencor Corporation, Q2 2006 Earnings Call, Feb 01, 2006",True,0,False,False,metadata_exists_but_no_component_rows,raw coverage limitation; excluded from cleaned_calls and llm_views; no empty LLM input generated
KLAC,282225,5109,2745023,2006-04-27,"KLA-Tencor Corporation, Q3 2006 Earnings Call, Apr-27-2006",True,0,False,False,metadata_exists_but_no_component_rows,raw coverage limitation; excluded from cleaned_calls and llm_views; no empty LLM input generated
MSFT,21835,6045,2495853,2006-01-26,"Microsoft Corporation, Q2 2006 Earnings Call, Jan-26-2006",True,0,False,False,metadata_exists_but_no_component_rows,raw coverage limitation; excluded from cleaned_calls and llm_views; no empty LLM input generated
NVDA,32307,6540,2607555,2006-02-16,"NVIDIA Corporation, Q4 2006 Earnings Call, Feb-16-2006",True,0,False,False,metadata_exists_but_no_component_rows,raw coverage limitation; excluded from cleaned_calls and llm_views; no empty LLM input generated
NVDA,32307,6531,2815508,2006-05-11,"NVIDIA Corporation, Q1 2007 Earnings Call, May-11-2006",True,0,False,False,metadata_exists_but_no_component_rows,raw coverage limitation; excluded from cleaned_calls and llm_views; no empty LLM input generated
QCOM,33493,7327,2513889,2006-01-25,"QUALCOMM Inc., Q1 2006 Earnings Call, Jan-25-2006",True,0,False,False,metadata_exists_but_no_component_rows,raw coverage limitation; excluded from cleaned_calls and llm_views; no empty LLM input generated
SBUX,34745,7774,2519061,2006-02-01,"Starbucks Corp., Q1 2006 Earnings Call, Feb-01-2006",True,0,False,False,metadata_exists_but_no_component_rows,raw coverage limitation; excluded from cleaned_calls and llm_views; no empty LLM input generated
STX,3738520,8386,2526513,2006-01-18,"Seagate Technology, Q2 2006 Earnings Call, Jan-18-2006",True,0,False,False,metadata_exists_but_no_component_rows,raw coverage limitation; excluded from cleaned_calls and llm_views; no empty LLM input generated
STX,3738520,8389,2753121,2006-04-18,"Seagate Technology, Q3 2006 Earnings Call, Apr-18-2006",True,0,False,False,metadata_exists_but_no_component_rows,raw coverage limitation; excluded from cleaned_calls and llm_views; no empty LLM input generated
TTWO,371281,8928,2480240,2006-01-05,"Take-Two Interactive Software Inc., Q4 2005 Earnings Call, Jan-05-2006",True,0,False,False,metadata_exists_but_no_component_rows,raw coverage limitation; excluded from cleaned_calls and llm_views; no empty LLM input generated
TTWO,371281,8931,2658919,2006-03-07,"Take-Two Interactive Software Inc., Q1 2006 Earnings Call, Mar-07-2006",True,0,False,False,metadata_exists_but_no_component_rows,raw coverage limitation; excluded from cleaned_calls and llm_views; no empty LLM input generated
TXN,140283,9004,2535134,2006-01-23,"Texas Instruments Inc., Q4 2005 Earnings Call, Jan-23-2006",True,0,False,False,metadata_exists_but_no_component_rows,raw coverage limitation; excluded from cleaned_calls and llm_views; no empty LLM input generated
VRTX,36235,9327,4873707,2007-10-29,"Vertex Pharmaceuticals Incorporated, Q3 2007 Earnings Call, Oct-29-2007",True,0,False,False,metadata_exists_but_no_component_rows,raw coverage limitation; excluded from cleaned_calls and llm_views; no empty LLM input generated
WMT,313055,9558,3287680,2006-11-15,"Wal-Mart Stores Inc., Q3 2007 Earnings Call, Nov-15-2006",True,0,False,False,metadata_exists_but_no_component_rows,raw coverage limitation; excluded from cleaned_calls and llm_views; no empty LLM input generated
WMT,313055,9569,3562009,2007-05-15,"Wal-Mart Stores Inc., Q1 2008 Earnings Call, May 15, 2007",True,0,False,False,metadata_exists_but_no_component_rows,raw coverage limitation; excluded from cleaned_calls and llm_views; no empty LLM input generated
WMT,313055,9570,3562010,2007-08-14,"Wal-Mart Stores Inc., Q2 2008 Earnings Call, Aug 14, 2007",True,0,False,False,metadata_exists_but_no_component_rows,raw coverage limitation; excluded from cleaned_calls and llm_views; no empty LLM input generated
WMT,313055,9571,3562011,2007-11-13,"Wal-Mart Stores Inc., Q3 2008 Earnings Call, Nov 13, 2007",True,0,False,False,metadata_exists_but_no_component_rows,raw coverage limitation; excluded from cleaned_calls and llm_views; no empty LLM input generated
WMT,313055,9572,5169974,2008-02-19,"Wal-Mart Stores Inc., Q4 2008 Earnings Call, Feb 19, 2008",True,0,False,False,metadata_exists_but_no_component_rows,raw coverage limitation; excluded from cleaned_calls and llm_views; no empty LLM input generated
WMT,313055,9574,5169797,2008-05-13,"Wal-Mart Stores Inc., Q1 2009 Earnings Call, May 13, 2008",True,0,False,False,metadata_exists_but_no_component_rows,raw coverage limitation; excluded from cleaned_calls and llm_views; no empty LLM input generated
